face_type_id,gender,cluster_id,member_id,alias_id,label,group_name,member_name,image_count,confidence,x,y
M08,M,6,aimers__seunghwan,aimers__seunghwan,AIMERS 승환,AIMERS,Seunghwan,8,0.6196,0.0635,0.1175
M09,M,7,aimers__seunghyun,aimers__seunghyun,AIMERS 승현,AIMERS,Seunghyun,7,0.6079,-0.0194,0.0868
M05,M,1,aimers__wooyoung,aimers__wooyoung,AIMERS 우영,AIMERS,Wooyoung,8,0.6001,0.0833,-0.0152
M02,M,3,aimers__yoel,aimers__yoel,AIMERS 요엘,AIMERS,Yoel,7,0.5413,0.2304,-0.1689
M03,M,4,b_d_u__bitsaeon,b_d_u__bitsaeon,B.D.U 빛새온,B.D.U,Bitsaeon,6,0.6324,0.1955,0.0371
M06,M,8,b_d_u__jay_chang,b_d_u__jay_chang,B.D.U 제이창,B.D.U,Jay Chang,8,0.8376,-0.1177,0.1288
M01,M,5,b_d_u__kim_minseo,b_d_u__kim_minseo,B.D.U 김민서,B.D.U,Kim Minseo,8,0.5921,0.2584,0.2399
M02,M,3,b_d_u__seunghun,b_d_u__seunghun,B.D.U 승훈,B.D.U,Seunghun,8,0.6711,0.0673,-0.1062
M04,M,2,jwiiver__chae_gaho,jwiiver__chae_gaho,JWiiver 채가호,JWiiver,Chae Gaho,19,0.3787,-0.1071,0.0850
M02,M,3,jwiiver__jukang,jwiiver__jukang,JWiiver 주강,JWiiver,Jukang,6,0.3592,-0.1290,-0.1840
M09,M,7,jwiiver__rihan,jwiiver__rihan,JWiiver 리한,JWiiver,Rihan,6,0.7654,-0.0246,0.1927
M09,M,7,nxmercy__youn,nxmercy__youn,NXMERCY 윤,NXMERCY,Youn,8,0.6333,-0.1045,0.0993
M11,M,9,vay_onn__peng_jinyu,vay_onn__peng_jinyu,VAY ONN 펑진위,VAY ONN,Peng Jinyu,7,0.5923,-0.1983,-0.1258
M01,M,5,vay_onn__sun_jiayang,vay_onn__sun_jiayang,VAY ONN 쑨지아양,VAY ONN,Sun Jiayang,5,0.3618,-0.2738,0.0222
M08,M,6,vi_enx__wonjin,vi_enx__wonjin,VI'ENX 원진,VI'ENX,Wonjin,5,0.4151,0.0278,-0.1384
M02,M,3,vi_enx__yeung,vi_enx__yeung,VI'ENX 예웅,VI'ENX,Yeung,5,0.4236,-0.1478,-0.1578
M07,M,0,vi_enx__younghoon,vi_enx__younghoon,VI'ENX 영훈,VI'ENX,Younghoon,10,0.3874,0.0342,-0.1165
M06,M,8,vvs__allan,vvs__allan,VVS 앨런,VVS,Allan,7,0.8335,-0.0047,0.2019
M01,M,5,vvs__hyosung,vvs__hyosung,VVS 효성,VVS,Hyosung,7,0.8778,0.0514,0.2004
M01,M,5,vvs__minjae,vvs__minjae,VVS 민재,VVS,Minjae,7,0.7613,0.0869,0.0002
M04,M,2,vvs__shinhwa,vvs__shinhwa,VVS 신화,VVS,Shinhwa,6,0.6146,0.0742,0.2107
M11,M,9,vvs__taeseok,vvs__taeseok,VVS 태석,VVS,Taeseok,7,0.6620,-0.0622,-0.1834
M01,M,5,withus__hwanrok,withus__hwanrok,withus 환록,withus,Hwanrok,7,0.5390,0.0956,0.3221
M01,M,5,withus__junhyeok,withus__junhyeok,withus 준혁,withus,Junhyeok,9,0.4636,0.1002,0.3153
M01,M,5,adap__hyunsung,adap__hyunsung,ADAP 현성,ADAP,Hyunsung,5,0.4523,0.2260,0.0906
M03,M,4,adap__jongho,adap__jongho,ADAP 종호,ADAP,Jongho,10,0.5414,0.0799,-0.1305
M05,M,1,keyvitup__hyunmin,keyvitup__hyunmin,KEYVITUP 현민,KEYVITUP,Hyunmin,9,0.4945,0.1211,-0.1316
M04,M,2,tunexx__donggyu,tunexx__donggyu,TUNEXX 동규,TUNEXX,Donggyu,5,0.7596,-0.1067,0.0227
M08,M,6,bts__jhope,bts__jhope,방탄소년단 제이홉,BTS,J-Hope,12,0.6924,0.1817,-0.1297
M04,M,2,bts__jimin,bts__jimin,방탄소년단 지민,BTS,Jimin,15,0.6863,-0.0890,0.1215
M07,M,0,bts__jin,bts__jin,방탄소년단 진,BTS,Jin,9,0.5790,-0.0046,-0.2336
M07,M,0,bts__jungkook,bts__jungkook,방탄소년단 정국,BTS,Jungkook,12,0.4600,-0.1481,-0.0498
M08,M,6,bts__rm,bts__rm,방탄소년단 알엠,BTS,RM,11,0.4223,0.3251,0.1569
M01,M,5,bts__suga,bts__suga,방탄소년단 슈가,BTS,Suga,10,0.6203,0.1588,0.0250
M07,M,0,bts__v,bts__v,방탄소년단 뷔,BTS,V,10,0.4653,-0.2585,-0.1005
M05,M,1,txt__beomgyu,txt__beomgyu,투모로우바이투게더 범규,TXT,Beomgyu,12,0.6856,-0.0603,-0.0372
M06,M,8,txt__hueningkai,txt__hueningkai,투모로우바이투게더 휴닝카이,TXT,Hueningkai,12,0.6744,-0.0708,0.2159
M11,M,9,txt__soobin,txt__soobin,투모로우바이투게더 수빈,TXT,Soobin,13,0.6364,-0.0812,-0.2176
M07,M,0,txt__taehyun,txt__taehyun,투모로우바이투게더 태현,TXT,Taehyun,11,0.6638,-0.1727,0.0560
M02,M,3,txt__yeonjun,txt__yeonjun,투모로우바이투게더 연준,TXT,Yeonjun,8,0.6423,-0.1212,-0.0692
M02,M,3,infinite__dongwoo,infinite__dongwoo,인피니트 동우,INFINITE,Dongwoo,10,0.6824,0.1123,-0.3323
M02,M,3,infinite__l,infinite__l,인피니트 엘,INFINITE,L,11,0.5542,-0.0730,-0.0721
M05,M,1,infinite__seongjong,infinite__seongjong,인피니트 성종,INFINITE,Seongjong,11,0.7008,0.0187,-0.1261
